<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
EURUSD,20081216,00:00:00,1.3700,1.3629,1.4144,1.4045
EURUSD,20081217,00:00:00,1.4046,1.4007,1.4434,1.4405
EURUSD,20081218,00:00:00,1.4404,1.4184,1.4716,1.4262
EURUSD,20081219,00:00:00,1.4263,1.3823,1.4307,1.3920
EURUSD,20081222,00:00:00,1.3920,1.3901,1.4122,1.3939
EURUSD,20081223,00:00:00,1.3939,1.3912,1.4018,1.3924
EURUSD,20081224,00:00:00,1.3925,1.3917,1.4016,1.4000
EURUSD,20081226,00:00:00,1.4013,1.3987,1.4116,1.4057
EURUSD,20081229,00:00:00,1.4075,1.3915,1.4360,1.3958
EURUSD,20081230,00:00:00,1.3958,1.3939,1.4218,1.4107
EURUSD,20081231,00:00:00,1.4108,1.3850,1.4144,1.3950
EURUSD,20090101,00:00:00,1.4031,1.4004,1.4056,1.4004
EURUSD,20090102,00:00:00,1.4002,1.3838,1.4025,1.3850
EURUSD,20090105,00:00:00,1.3884,1.3546,1.3960,1.3629
EURUSD,20090106,00:00:00,1.3628,1.3311,1.3656,1.3496
EURUSD,20090107,00:00:00,1.3495,1.3431,1.3744,1.3654
EURUSD,20090108,00:00:00,1.3654,1.3533,1.3795,1.3705
EURUSD,20090109,00:00:00,1.3705,1.3413,1.3747,1.3427
EURUSD,20090112,00:00:00,1.3467,1.3287,1.3467,1.3364
EURUSD,20090113,00:00:00,1.3364,1.3140,1.3369,1.3179
EURUSD,20090114,00:00:00,1.3179,1.3092,1.3334,1.3161
EURUSD,20090115,00:00:00,1.3160,1.3025,1.3237,1.3138
EURUSD,20090116,00:00:00,1.3137,1.3134,1.3341,1.3286
EURUSD,20090119,00:00:00,1.3349,1.3056,1.3384,1.3063
EURUSD,20090120,00:00:00,1.3062,1.2853,1.3101,1.2858
EURUSD,20090121,00:00:00,1.2858,1.2824,1.3083,1.3052
EURUSD,20090122,00:00:00,1.3053,1.2907,1.3080,1.3017
EURUSD,20090123,00:00:00,1.3017,1.2764,1.3033,1.2983
EURUSD,20090126,00:00:00,1.2921,1.2859,1.3233,1.3211
EURUSD,20090127,00:00:00,1.3210,1.3118,1.3325,1.3182
EURUSD,20090128,00:00:00,1.3181,1.3101,1.3322,1.3150
EURUSD,20090129,00:00:00,1.3150,1.2931,1.3176,1.2935
EURUSD,20090130,00:00:00,1.2935,1.2777,1.2939,1.2802
EURUSD,20090202,00:00:00,1.2747,1.2704,1.2896,1.2813
EURUSD,20090203,00:00:00,1.2813,1.2800,1.3055,1.3014
EURUSD,20090204,00:00:00,1.3015,1.2812,1.3068,1.2834
EURUSD,20090205,00:00:00,1.2834,1.2759,1.2901,1.2783
EURUSD,20090206,00:00:00,1.2783,1.2746,1.2989,1.2922
EURUSD,20090209,00:00:00,1.2969,1.2873,1.3090,1.2998
EURUSD,20090210,00:00:00,1.2997,1.2809,1.3071,1.2904
EURUSD,20090211,00:00:00,1.2905,1.2832,1.2994,1.2881
EURUSD,20090212,00:00:00,1.2881,1.2720,1.2940,1.2892
EURUSD,20090213,00:00:00,1.2891,1.2819,1.2939,1.2886
EURUSD,20090216,00:00:00,1.2787,1.2725,1.2822,1.2793
EURUSD,20090217,00:00:00,1.2792,1.2561,1.2798,1.2574
EURUSD,20090218,00:00:00,1.2574,1.2512,1.2638,1.2552
EURUSD,20090219,00:00:00,1.2552,1.2538,1.2757,1.2685
EURUSD,20090220,00:00:00,1.2685,1.2556,1.2881,1.2834
EURUSD,20090223,00:00:00,1.2816,1.2690,1.2989,1.2703
EURUSD,20090224,00:00:00,1.2703,1.2660,1.2874,1.2867
EURUSD,20090225,00:00:00,1.2867,1.2689,1.2896,1.2717
EURUSD,20090226,00:00:00,1.2718,1.2680,1.2807,1.2732
EURUSD,20090227,00:00:00,1.2732,1.2602,1.2748,1.2674
EURUSD,20090302,00:00:00,1.2618,1.2544,1.2629,1.2558
EURUSD,20090303,00:00:00,1.2558,1.2520,1.2675,1.2540
EURUSD,20090304,00:00:00,1.2540,1.2455,1.2661,1.2645
EURUSD,20090305,00:00:00,1.2646,1.2480,1.2651,1.2539
EURUSD,20090306,00:00:00,1.2538,1.2535,1.2750,1.2634
EURUSD,20090309,00:00:00,1.2672,1.2554,1.2724,1.2586
EURUSD,20090310,00:00:00,1.2586,1.2586,1.2820,1.2701
EURUSD,20090311,00:00:00,1.2702,1.2615,1.2862,1.2819
EURUSD,20090312,00:00:00,1.2820,1.2730,1.2943,1.2886
EURUSD,20090313,00:00:00,1.2885,1.2861,1.2954,1.2926
EURUSD,20090316,00:00:00,1.2846,1.2845,1.3069,1.2968
EURUSD,20090317,00:00:00,1.2969,1.2930,1.3039,1.3036
EURUSD,20090318,00:00:00,1.3036,1.2985,1.3531,1.3488
